"Player","Rating","Games","1st","2nd","Lag"
13377170,1451.11131273636,5,0,0,22938
16602021,1451.10418227896,27,0,0,12173
18345293,1451.0949595008,16,1,3,3076
7384072,1451.08809737063,6,0,0,890
4069690,1451.03319664095,6,0,0,1224
24826059,1451.02911233135,3,0,0,10028
15218407,1451.00228400226,64,11,16,194
13000940,1450.99880311399,3,0,0,30343
11299201,1450.97067304811,23,1,0,24666
11390612,1450.9433581087,4,0,0,6616
10002215,1450.93093857608,4,0,0,27175
7183040,1450.89192171558,7,0,0,773
9362231,1450.88110937036,30,2,2,5003
10470806,1450.78723282322,9,0,0,5445
18365123,1450.73540563724,2,0,0,27243
11566624,1450.69520030533,11,0,0,12208
8909292,1450.6532098715,14,2,0,23733
13849374,1450.60668005924,6,0,0,10356
13421536,1450.58839514298,6,0,0,5720
6425836,1450.57706597179,9,0,0,14857
13472907,1450.54766990919,2,0,0,15351
23507326,1450.52242953861,2,0,0,1884
14267782,1450.51119117169,16,2,2,11344
27524136,1450.47540373154,8,0,0,25130
5290678,1450.4707694918,10,0,0,17692
10523453,1450.45906878442,24,1,2,12839
16722317,1450.44707230822,15,1,0,7404
10592989,1450.42901040242,2,0,0,30898
15839660,1450.38892326676,209,20,31,13
13827317,1450.29675682513,14,1,2,5391
4524874,1450.247089355,7,0,0,5720
8515830,1450.22643962519,40,2,5,1431
20267982,1450.10454850615,2,0,0,19964
28702680,1450.10417949388,4,0,0,25135
7749333,1450.06575260446,13,0,0,27149
10079847,1450.06462962424,10,0,2,5411
718454,1450.04696640209,3,0,0,2509
8784852,1450.03677797547,26,0,0,1179
13603871,1450.02355501274,29,0,0,5201
22592572,1449.98865671696,2,0,1,10136
675132,1449.97954022253,4,0,0,16950
15450148,1449.95339224358,3,0,0,22836
17554793,1449.90725276593,50,0,0,12024
12110337,1449.87271372079,15,0,2,19455
12956988,1449.86427713417,6,0,1,14207
12834269,1449.85331823367,3,0,0,23011
10767904,1449.78733864522,4,0,1,17268
