"Player","Rating","Games","1st","2nd","3rd","4th","Lag"
15402914,1434.17034480222,4,0,0,0,0,6210
28493299,1434.16689863921,18,0,0,0,0,101
12942719,1434.16497200632,56,9,5,0,0,25287
13838082,1434.12793112135,8,0,0,0,0,29904
13696515,1434.08029725791,5,1,4,0,0,54670
16383529,1434.02169419954,15,0,2,0,0,6202
9803745,1433.98921426654,119,21,5,0,0,262
9738378,1433.9797394546,3,0,2,0,0,57327
7339984,1433.96239201313,8,0,4,0,0,12959
10091878,1433.9416147391,13,0,0,0,0,9077
20458221,1433.92859359143,6,0,0,0,0,45692
13478033,1433.88175795704,5,0,2,0,0,26246
14261342,1433.86206513013,19,0,2,0,0,56638
13837396,1433.76701891506,79,3,7,0,0,263
18207652,1433.69621305468,3,0,0,0,0,5910
20286912,1433.66614184919,3,0,0,0,0,62403
7214475,1433.58907439546,25,4,1,0,0,12122
20726689,1433.57533663912,9,0,0,0,0,3557
21518092,1433.54193233569,4,0,0,0,0,53232
18174784,1433.51402135916,2,0,0,0,0,35734
7844452,1433.51323943656,42,1,2,0,0,54746
13635433,1433.49290760628,4,0,0,0,0,13026
22076760,1433.48832316916,8,0,0,0,0,3557
21101533,1433.47908923648,4,0,0,0,0,2766
14381318,1433.4379290644,5,0,0,0,0,30638
27661548,1433.43745423732,44,5,3,0,0,420
13661480,1433.43425379019,11,0,0,0,0,23845
12354557,1433.41370787812,59,1,3,0,0,43781
6813675,1433.40804174353,13,0,0,0,0,53489
13141753,1433.37797373212,42,0,8,0,0,27260
16186982,1433.37645935733,29,0,1,0,0,541
16582033,1433.33196498092,9,0,0,0,0,13906
19225294,1433.31768632254,7,1,1,0,0,30825
6264206,1433.31127147901,109,13,15,0,0,18527
12799537,1433.30974198147,7,0,0,0,0,53952
8692802,1433.30452223238,24,1,0,0,0,906
30046049,1433.30178297358,26,5,2,0,0,397
14348073,1433.25482703926,4,0,0,0,0,68637
3336090,1433.19821485323,25,0,2,0,0,30969
16551148,1433.16491094375,22,0,0,0,0,6588
16021981,1433.16396325382,18,0,0,0,0,32237
2090101,1433.1421486794,16,0,0,0,0,60037
13032918,1433.14037090297,5,0,0,0,0,48546
11354569,1433.09259226638,8,2,6,0,0,58251
30047879,1433.06526640168,7,2,2,0,0,54609
9843528,1432.9890590329,12,0,0,0,0,45447
18673485,1432.94916111686,172,12,21,0,0,658
30367809,1432.93394670896,28,1,3,0,0,32441
22445518,1432.92319577274,35,0,0,0,0,1157
13228763,1432.92010013294,3,0,0,0,0,3002
16177062,1432.91346439123,3,0,0,0,0,8444
20774823,1432.89932188682,10,0,0,0,0,18800
7717867,1432.8739703017,5,0,0,0,0,37155
16666972,1432.83931455724,11,1,0,0,0,32238
16137073,1432.81912584047,10,0,0,0,0,1157
9861206,1432.79423982047,12,0,0,0,0,6520
18220734,1432.76558268249,4,0,0,0,0,6498
26030045,1432.75670702703,6,0,0,0,0,63469
29492996,1432.72354608091,3,0,0,0,0,12795
16587033,1432.71518185885,9,1,1,0,0,641
17208181,1432.67937361772,12,0,0,0,0,40464
16800309,1432.61217395624,10,0,0,0,0,782
18371932,1432.50305962827,18,2,3,0,0,18090
20511373,1432.49964051668,12,0,0,0,0,13294
9845748,1432.48127519377,22,1,3,0,0,501
6746559,1432.47467530842,3,0,0,0,0,57762
10281594,1432.43698212902,15,0,0,0,0,24123
16558476,1432.38274125614,6,0,0,0,0,33540
13385533,1432.38010452265,4,0,0,0,0,67405
17352850,1432.36500153935,77,10,17,0,0,13946
14656836,1432.36280235383,3,0,0,0,0,43140
21340324,1432.19568793581,5,0,0,0,0,11999
20010501,1432.18284358304,7,0,0,0,0,10565
17203584,1432.15705920686,13,1,3,0,0,42044
17257926,1432.13577982328,16,2,0,0,0,91
17794419,1432.11205606874,3,0,0,0,0,1474
10217673,1432.10323103705,7,0,0,0,0,2137
18493550,1432.01247503156,33,1,7,0,0,1744
12341479,1431.98483588221,7,0,0,0,0,35325
15641242,1431.96935253654,4,0,0,0,0,50299
15869723,1431.94180581934,3,0,1,0,0,50886
7604722,1431.90275326844,8,0,0,0,0,52066
10701168,1431.88685572508,3,0,0,0,0,68458
23925219,1431.86667549078,7,0,0,0,0,21889
13220969,1431.86588953395,9,0,0,0,0,63707
20203412,1431.83170294809,4,0,0,0,0,9955
12159050,1431.83111424911,22,1,4,0,0,1157
12045415,1431.7796958086,124,4,4,0,0,6079
18429323,1431.77495095391,7,1,0,0,0,32214
11311583,1431.62915454967,35,2,0,0,0,6238
10578615,1431.62464629662,72,7,5,0,0,1161
11825889,1431.6137856938,8,0,0,0,0,2717
12850164,1431.56596641725,3,0,0,0,0,33136
5394681,1431.5219807133,17,0,0,0,0,48612
