"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","7th","8th","9th","10th","Lag"
4399129,2381.94831962593,771,152,131,0,0,0,0,0,0,0,0,1216
4637369,2381.56489904892,508,101,82,0,0,0,0,0,0,0,0,747
9737185,2380.98383612739,1177,211,180,0,0,0,0,0,0,0,0,305
8445602,2380.92606201242,843,100,84,0,0,0,0,0,0,0,0,854
6830745,2380.45675647596,1763,285,235,0,0,0,0,0,0,0,0,357
7774197,2380.0478455143,1865,210,220,0,0,0,0,0,0,0,0,58
9820792,2379.83319091017,264,31,25,0,0,0,0,0,0,0,0,17127
4916057,2378.09057666569,83,14,7,0,0,0,0,0,0,0,0,57872
6671641,2376.46756394968,1137,93,75,0,0,0,0,0,0,0,0,357
8914929,2376.25283931858,341,15,22,0,0,0,0,0,0,0,0,747
25129957,2375.99195270509,4036,868,653,0,0,0,0,0,0,0,0,286
10704796,2375.81728624741,232,32,26,0,0,0,0,0,0,0,0,3741
39828,2374.81866510251,116,9,7,0,0,0,0,0,0,0,0,16280
2537924,2373.49486082448,96,14,16,0,0,0,0,0,0,0,0,7109
12090610,2373.27092782267,1568,194,179,0,0,0,0,0,0,0,0,129
2035254,2372.93467279212,398,45,40,0,0,0,0,0,0,0,0,1318
10748631,2372.28577476504,114,5,7,0,0,0,0,0,0,0,0,246
14817468,2371.50221700257,557,79,50,0,0,0,0,0,0,0,0,267
1501956,2370.54438997196,233,17,30,0,0,0,0,0,0,0,0,759
11684952,2370.07738813584,515,51,46,0,0,0,0,0,0,0,0,6972
11604978,2369.54725468472,116,26,11,0,0,0,0,0,0,0,0,13252
5791401,2369.31589793135,804,74,77,0,0,0,0,0,0,0,0,13202
13925698,2368.40072877507,1042,110,73,0,0,0,0,0,0,0,0,88
4715598,2368.24877111025,327,138,112,0,0,0,0,0,0,0,0,4478
18131614,2368.09861483357,2254,277,226,0,0,0,0,0,0,0,0,152
6479616,2367.32455147761,454,63,53,0,0,0,0,0,0,0,0,131
3995630,2367.29597719479,279,61,35,0,0,0,0,0,0,0,0,641
5425046,2365.66723603128,828,80,66,0,0,0,0,0,0,0,0,473
10665363,2365.2560813792,310,48,33,0,0,0,0,0,0,0,0,1318
7554753,2364.90412925914,116,24,16,0,0,0,0,0,0,0,0,1318
6399568,2364.79967439242,531,67,49,0,0,0,0,0,0,0,0,249
9507565,2363.86006672316,1040,88,77,0,0,0,0,0,0,0,0,152
10064064,2363.76488156704,210,15,16,0,0,0,0,0,0,0,0,961
11371245,2363.31474243545,744,41,41,0,0,0,0,0,0,0,0,88
4209818,2361.77108496812,232,21,23,0,0,0,0,0,0,0,0,60577
1818573,2361.48787819918,519,98,51,0,0,0,0,0,0,0,0,7594
13218204,2361.47697020125,804,79,77,0,0,0,0,0,0,0,0,84
5136821,2361.35134792253,488,63,52,0,0,0,0,0,0,0,0,456
3737401,2358.08050736845,147,4,6,0,0,0,0,0,0,0,0,3044
11750028,2357.98700615025,150,11,12,0,0,0,0,0,0,0,0,54754
5477343,2357.84636708487,406,54,44,0,0,0,0,0,0,0,0,9032
11141578,2357.1749810957,1217,149,135,0,0,0,0,0,0,0,0,976
8165685,2355.07446659253,1694,184,153,0,0,0,0,0,0,0,0,435
