"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","7th","8th","9th","10th","11th","12th","13th","14th","15th","16th","Lag"
5472693,2250.86905900831,330,49,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
11940767,2248.97546931907,131,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
11786864,2248.40061671509,438,65,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
4803900,2247.51340498698,118,33,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4376
11399348,2246.44135757915,61,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
1987591,2245.0869949897,101,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4671
9728880,2244.61580484113,223,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
4399129,2242.06417933477,314,63,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241
16320893,2241.45645772304,886,190,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
11042418,2240.47289871561,102,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711
6479616,2240.41401820606,100,19,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
4780986,2240.24476071469,109,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3482
7512553,2237.18826915816,95,41,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39157
4209818,2234.96165584683,183,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4233
20988374,2234.95734545472,154,17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660
12378737,2234.22758603794,145,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1540
9938943,2233.98270726429,116,25,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7767
20461077,2233.00297865998,115,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5004
7153533,2231.52506828289,214,21,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
6830745,2231.17075811885,480,105,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
10717635,2230.2926023738,240,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1258
4383303,2229.52987694281,176,57,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195
11921197,2228.46354842193,143,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1060
17467899,2225.55009754714,836,219,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
2590257,2223.37571617841,93,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829
14097024,2223.2785279626,104,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1540
4389490,2223.19330785583,133,35,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152
14179487,2222.1402140493,57,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2186
