"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","Lag"
11152025,1332.13763920735,8,0,2,0,0,0,0,35327
3602620,1332.12154729251,15,2,0,0,0,0,0,38543
11219006,1332.11026457679,36,5,1,0,0,0,0,534
21241376,1332.06925017371,32,1,2,0,0,0,0,14201
23552949,1332.03453542013,10,0,0,0,0,0,0,2709
28276767,1332.03418486484,10,0,0,0,0,0,0,3337
13787493,1331.89859715147,35,0,4,0,0,0,0,8958
13876039,1331.86796438286,17,0,0,0,0,0,0,49577
21527728,1331.82096885423,28,2,1,0,0,0,0,28527
14562792,1331.78788591576,10,0,0,0,0,0,0,136220
10663510,1331.76849962783,10,0,0,0,0,0,0,105102
20401761,1331.76715550932,8,0,1,0,0,0,0,19672
10079847,1331.74271617127,61,16,18,0,0,0,0,12359
4257516,1331.72342419907,12,0,0,0,0,0,0,126202
14130446,1331.6766553537,26,0,1,0,0,0,0,101298
17321946,1331.67517782619,6,0,6,0,0,0,0,75041
8123615,1331.67033693856,9,0,0,0,0,0,0,778
28300794,1331.5458439951,20,0,1,0,0,0,0,66563
19100657,1331.50938375034,9,0,0,0,0,0,0,93169
15986874,1331.49148233506,10,0,0,0,0,0,0,61637
11150569,1331.33460179426,23,0,1,0,0,0,0,125
12777516,1331.25711047131,7,0,0,0,0,0,0,86828
18272338,1331.25130130662,58,6,9,0,0,0,0,59
6337316,1331.21274695584,7,0,2,0,0,0,0,105022
9048690,1331.20589594847,263,17,26,0,0,0,0,1710
11256297,1330.9013686057,36,8,11,0,0,0,0,75716
11111669,1330.82550666748,740,92,138,0,0,0,0,24
7528685,1330.68531286472,17,0,0,0,0,0,0,112946
27294535,1330.62778494844,18,0,0,0,0,0,0,99095
32238068,1330.604435577,10,1,6,0,0,0,0,57351
7890306,1330.56556573828,20,0,0,0,0,0,0,110498
31673624,1330.56281886004,16,2,5,0,0,0,0,94690
14580577,1330.5550332953,12,0,0,0,0,0,0,6858
13129996,1330.52663801367,120,11,19,0,0,0,0,57637
24640919,1330.46608153717,7,0,0,0,0,0,0,15584
22012923,1330.45513695577,9,0,0,0,0,0,0,78855
28931044,1330.45354162671,6,0,0,0,0,0,0,102801
26748801,1330.3810122196,7,0,0,0,0,0,0,29704
31747605,1330.35912133164,18,0,0,0,0,0,0,67640
11030666,1330.266286135,16,4,7,0,0,0,0,102691
24440315,1330.2190539926,12,0,0,0,0,0,0,102448
1906078,1330.20128479692,14,0,0,0,0,0,0,54924
9325547,1330.17186310971,10,0,0,0,0,0,0,127513
17539772,1330.17064454265,9,0,0,0,0,0,0,105102
19460468,1330.16461349359,77,13,10,0,0,0,0,13781
6623626,1330.05984255911,38,5,8,0,0,0,0,55466
15180662,1330.05126182982,67,1,0,0,0,0,0,5770
31964737,1330.03064978493,9,0,0,0,0,0,0,99194
3825470,1329.985036398,506,37,64,0,0,0,0,3610
6845864,1329.95129131587,25,3,0,0,0,0,0,2235
28469810,1329.9431457433,8,0,0,0,0,0,0,125363
3188911,1329.88428426215,8,0,0,0,0,0,0,66133
28389012,1329.85580872877,6,0,2,0,0,0,0,82368
14273176,1329.83185408957,16,0,0,0,0,0,0,5402
12284901,1329.78243661739,11,0,0,0,0,0,0,118229
6449465,1329.69844568523,13,0,0,0,0,0,0,114849
11289457,1329.66932371067,34,0,0,0,0,0,0,44835
4956099,1329.57543142873,46,0,0,0,0,0,0,14872
8380440,1329.43703765511,8,0,0,0,0,0,0,123795
