"Player","Rating","Games","1st","2nd","3rd","4th","5th","6th","7th","8th","Lag"
3792472,2253.0751296874,95,12,11,0,0,0,0,0,0,901
7810180,2252.6395916489,271,38,30,0,0,0,0,0,0,478
6942259,2252.61166713174,213,13,22,0,0,0,0,0,0,1076
4382220,2251.81992360137,298,90,49,0,0,0,0,0,0,17061
10760701,2251.79403092574,103,31,15,0,0,0,0,0,0,19824
12904237,2251.57175094219,784,92,41,0,0,0,0,0,0,271
9921139,2251.29700072101,371,97,82,0,0,0,0,0,0,1011
5242158,2249.92580639518,239,22,26,0,0,0,0,0,0,732
10143086,2249.04589664964,152,22,17,0,0,0,0,0,0,65
11786864,2248.68484835919,709,115,69,0,0,0,0,0,0,9
4803900,2247.51340498698,118,33,18,0,0,0,0,0,0,31862
8150535,2247.48634033037,483,56,51,0,0,0,0,0,0,4062
2035254,2246.65620399733,148,5,10,0,0,0,0,0,0,779
13709281,2246.58832896168,226,43,26,0,0,0,0,0,0,150
9993348,2246.42663196734,311,26,35,0,0,0,0,0,0,275
8445602,2245.72154105287,375,43,37,0,0,0,0,0,0,89
11345747,2245.39298184439,311,57,47,0,0,0,0,0,0,977
10069909,2244.62911446394,162,7,13,0,0,0,0,0,0,4693
114017,2244.09356928034,892,96,112,0,0,0,0,0,0,32
9362168,2239.88769551079,534,71,63,0,0,0,0,0,0,921
10170668,2239.64091125278,209,20,11,0,0,0,0,0,0,5074
14817468,2236.883317662,218,37,25,0,0,0,0,0,0,175
12805967,2236.55745024721,417,48,50,0,0,0,0,0,0,864
4389490,2235.71450837078,163,41,29,0,0,0,0,0,0,231
4209818,2234.96165584683,183,8,12,0,0,0,0,0,0,31719
1501956,2234.01958497686,105,13,12,0,0,0,0,0,0,2324
7640581,2233.86442838335,520,67,53,0,0,0,0,0,0,1123
6036351,2232.80493605169,171,16,11,0,0,0,0,0,0,271
14438574,2232.42923726489,408,44,32,0,0,0,0,0,0,3693
2317789,2232.25119442947,174,7,20,0,0,0,0,0,0,793
12147277,2232.23673620568,539,81,74,0,0,0,0,0,0,115
14035920,2231.72589463504,141,13,12,0,0,0,0,0,0,2324
10250612,2231.10793377842,133,37,21,0,0,0,0,0,0,2324
4896825,2230.13713760194,166,17,21,0,0,0,0,0,0,1297
17467899,2230.01598313913,1274,284,173,0,0,0,0,0,0,824
10665363,2227.85191356888,99,23,8,0,0,0,0,0,0,10771
13057699,2226.95132242061,266,54,33,0,0,0,0,0,0,3332
3543130,2225.97833403487,122,13,24,0,0,0,0,0,0,22
1285637,2224.37370798742,196,9,13,0,0,0,0,0,0,589
8401905,2224.11655419907,171,17,18,0,0,0,0,0,0,2324
14179487,2222.1402140493,57,27,13,0,0,0,0,0,0,29672
6283858,2221.65836646643,343,51,46,0,0,0,0,0,0,793
1428455,2221.60693193021,131,43,27,0,0,0,0,0,0,8864
13951894,2220.01351461548,296,25,31,0,0,0,0,0,0,28
3410997,2219.82561800684,102,17,5,0,0,0,0,0,0,743
1460263,2218.84549183318,1339,278,264,0,0,0,0,0,0,32
5425046,2216.41762804055,317,37,23,0,0,0,0,0,0,2000
7249261,2214.39295510907,506,35,51,0,0,0,0,0,0,28
16509171,2214.26704409832,224,59,28,0,0,0,0,0,0,15934
10634348,2212.2400853529,321,36,16,0,0,0,0,0,0,478
11255340,2210.57601203038,1112,237,147,0,0,0,0,0,0,62
17847877,2209.94412077328,1093,231,175,0,0,0,0,0,0,24
19315726,2209.63888514186,147,28,22,0,0,0,0,0,0,12872
18906801,2209.57994302005,182,20,16,0,0,0,0,0,0,2831
3213239,2208.56259267861,83,25,7,0,0,0,0,0,0,47858
3062998,2207.96851145112,100,7,17,0,0,0,0,0,0,32
5154946,2206.97910983776,468,39,33,0,0,0,0,0,0,28
15271985,2206.47919602833,522,129,79,0,0,0,0,0,0,82
14041375,2206.37454120289,177,7,7,0,0,0,0,0,0,243
6830745,2206.12810007664,703,134,114,0,0,0,0,0,0,99
7095800,2205.77678753966,111,42,14,0,0,0,0,0,0,2084
13214651,2205.59401580246,208,7,10,0,0,0,0,0,0,250
11245184,2204.74688104129,177,11,15,0,0,0,0,0,0,2706
8165181,2204.6997214969,65,2,6,0,0,0,0,0,0,10321
11349288,2204.69488327008,84,33,13,0,0,0,0,0,0,1136
612898,2203.97991422585,83,11,10,0,0,0,0,0,0,10488
14445724,2203.24642946797,104,7,9,0,0,0,0,0,0,23038
13068741,2199.8792157632,244,39,47,0,0,0,0,0,0,712
8509247,2199.84364445397,74,16,12,0,0,0,0,0,0,41017
4383303,2198.80241452985,183,57,31,0,0,0,0,0,0,22540
12159899,2197.58004127496,80,9,12,0,0,0,0,0,0,1150
8045604,2197.39646833782,148,26,35,0,0,0,0,0,0,478
11557554,2195.10970623982,70,12,7,0,0,0,0,0,0,15854
7748891,2194.87831065646,94,9,6,0,0,0,0,0,0,28
14684430,2193.96037277588,271,68,78,0,0,0,0,0,0,152
12090610,2192.39373066254,703,85,71,0,0,0,0,0,0,23
16561695,2191.8896876075,321,21,25,0,0,0,0,0,0,662
6585939,2189.97509358451,224,35,38,0,0,0,0,0,0,712
5286213,2187.46189353332,116,11,15,0,0,0,0,0,0,992
13973026,2186.98460987194,201,35,31,0,0,0,0,0,0,453
11674122,2186.0864369004,104,21,16,0,0,0,0,0,0,518
1433427,2185.85982544328,486,74,58,0,0,0,0,0,0,1310
2312106,2185.55236650289,326,12,17,0,0,0,0,0,0,1031
4908650,2183.9918051627,41,18,6,0,0,0,0,0,0,9811
6303313,2183.96436118468,135,44,23,0,0,0,0,0,0,253
14958380,2183.12842257536,131,18,16,0,0,0,0,0,0,356
4653583,2182.90199262707,73,13,7,0,0,0,0,0,0,1330
14696361,2181.83809734107,98,34,9,0,0,0,0,0,0,9049
10092099,2180.70516354798,90,36,20,0,0,0,0,0,0,59886
20630250,2180.39165842591,1581,222,178,0,0,0,0,0,0,287
16320893,2179.79033312247,1147,233,159,0,0,0,0,0,0,114
8925266,2178.39819121095,101,9,15,0,0,0,0,0,0,18409
9340773,2176.31571162729,299,41,32,0,0,0,0,0,0,133
3328742,2176.23361518727,123,10,6,0,0,0,0,0,0,1513
12110337,2174.32140239129,120,36,21,0,0,0,0,0,0,16883
10459580,2173.98451520818,365,26,26,0,0,0,0,0,0,889
14100781,2173.32888032712,102,19,17,0,0,0,0,0,0,116
4857328,2172.6349933896,210,26,12,0,0,0,0,0,0,675
12578000,2170.49158272099,249,39,35,0,0,0,0,0,0,20075
11854446,2170.32539417764,81,14,6,0,0,0,0,0,0,150
4415285,2168.85524295446,220,31,38,0,0,0,0,0,0,7114
10507407,2168.46124300486,94,11,8,0,0,0,0,0,0,1539
7948169,2167.81801938466,182,14,9,0,0,0,0,0,0,506
11967146,2166.48984653459,397,124,85,0,0,0,0,0,0,514
1427407,2166.16718667779,179,13,22,0,0,0,0,0,0,23
11607790,2166.02299366247,170,51,30,0,0,0,0,0,0,5450
12777806,2165.31868117487,185,45,25,0,0,0,0,0,0,7357
21653406,2165.21391075693,224,25,18,0,0,0,0,0,0,977
10792185,2165.02568358212,201,23,13,0,0,0,0,0,0,4
11393715,2164.70202126374,168,19,16,0,0,0,0,0,0,4315
7457788,2163.72697789268,442,29,27,0,0,0,0,0,0,669
11920994,2163.24630237975,508,42,35,0,0,0,0,0,0,1113
6399568,2162.48567077298,205,37,30,0,0,0,0,0,0,13418
2000416,2161.4893541981,104,8,9,0,0,0,0,0,0,1330
8914929,2160.28942267336,163,9,11,0,0,0,0,0,0,2324
13617153,2159.21251645478,130,9,6,0,0,0,0,0,0,13846
12537417,2158.29168466578,615,78,54,0,0,0,0,0,0,279
16768757,2158.20664123659,175,39,16,0,0,0,0,0,0,19195
11405263,2156.91386864631,206,30,17,0,0,0,0,0,0,11005
13062430,2155.31469326963,60,25,10,0,0,0,0,0,0,22312
2541804,2154.69549133164,314,30,24,0,0,0,0,0,0,1175
9984244,2154.29313986143,134,18,15,0,0,0,0,0,0,6892
16227745,2153.78005150429,650,89,78,0,0,0,0,0,0,20
20501126,2153.52412947298,283,22,31,0,0,0,0,0,0,9
4780986,2152.12091144392,130,12,15,0,0,0,0,0,0,15999
10509043,2150.22656390253,225,28,18,0,0,0,0,0,0,4347
7774197,2150.18980328605,648,104,101,0,0,0,0,0,0,210
8991722,2148.12052730278,351,57,47,0,0,0,0,0,0,5074
9364137,2147.2038402354,172,28,38,0,0,0,0,0,0,28397
11393702,2146.06334917535,310,41,23,0,0,0,0,0,0,50
9276293,2145.95377478869,250,3,12,0,0,0,0,0,0,6079
15592469,2145.81133505763,87,33,16,0,0,0,0,0,0,13522
7302146,2144.7415084542,192,37,29,0,0,0,0,0,0,1738
30304108,2144.48618192663,98,19,8,0,0,0,0,0,0,2075
4755314,2143.6475035014,332,55,54,0,0,0,0,0,0,11659
10157694,2143.29572613851,825,96,96,0,0,0,0,0,0,1117
12322135,2143.1245907046,70,22,13,0,0,0,0,0,0,3484
9459674,2141.95258853046,427,44,42,0,0,0,0,0,0,287
6752116,2141.75660715598,85,7,7,0,0,0,0,0,0,2
2504750,2140.73181443314,105,12,9,0,0,0,0,0,0,6636
12952320,2138.55628063903,76,6,7,0,0,0,0,0,0,1125
13207763,2137.68925398435,576,40,38,0,0,0,0,0,0,450
4784772,2136.75317381224,547,105,71,0,0,0,0,0,0,113
4673649,2136.6488296479,208,8,15,0,0,0,0,0,0,2
8715276,2136.59518151517,178,38,30,0,0,0,0,0,0,12825
11142471,2136.17366175989,325,30,30,0,0,0,0,0,0,364
6665667,2135.55448395773,125,20,21,0,0,0,0,0,0,1307
9560694,2134.76984239148,461,68,61,0,0,0,0,0,0,82
9294147,2134.28404249951,133,24,18,0,0,0,0,0,0,115
12714574,2134.06801490078,70,22,15,0,0,0,0,0,0,1184
10543853,2134.02352501278,270,43,33,0,0,0,0,0,0,1640
9322480,2132.95088300061,232,20,22,0,0,0,0,0,0,133
11371245,2131.91281741174,301,20,21,0,0,0,0,0,0,712
11234356,2130.89768782191,103,20,13,0,0,0,0,0,0,345
9737185,2130.65016107214,427,120,90,0,0,0,0,0,0,111
7447249,2130.20279183636,55,11,6,0,0,0,0,0,0,540
5271371,2130.09710653261,64,9,19,0,0,0,0,0,0,37469
14518295,2129.87526131318,453,91,50,0,0,0,0,0,0,115
11469447,2129.70586677597,103,15,8,0,0,0,0,0,0,10416
13628898,2128.51148738707,179,15,8,0,0,0,0,0,0,355
11472811,2128.21766340188,242,48,37,0,0,0,0,0,0,2198
7989469,2127.77934961597,856,131,107,0,0,0,0,0,0,434
10849159,2127.7579502483,177,31,15,0,0,0,0,0,0,466
13534941,2127.31832401097,144,60,26,0,0,0,0,0,0,19275
14040810,2127.02586396393,119,13,14,0,0,0,0,0,0,68
21627415,2125.5196136357,309,32,36,0,0,0,0,0,0,27
10958852,2125.21994418823,314,26,19,0,0,0,0,0,0,1157
10569535,2125.13438658916,48,16,10,0,0,0,0,0,0,480
6925441,2124.7348493989,255,40,24,0,0,0,0,0,0,33
6367247,2124.61271031673,100,32,33,0,0,0,0,0,0,7717
6643511,2124.49471690655,1083,135,130,0,0,0,0,0,0,345
5642779,2124.37053569658,112,22,17,0,0,0,0,0,0,1129
9393446,2123.42684284879,151,18,15,0,0,0,0,0,0,3367
7904667,2123.05029543598,117,15,10,0,0,0,0,0,0,5368
14855337,2122.97121834302,181,49,24,0,0,0,0,0,0,662
11608083,2121.98535725903,305,58,50,0,0,0,0,0,0,1424
13139356,2121.81404767797,173,26,30,0,0,0,0,0,0,279
10504596,2121.5064334794,85,16,6,0,0,0,0,0,0,478
